2019/7/24	08:00	2019/7/24	12:00	4
2019/7/31	08:00	2019/7/31	12:00	4
2019/8/1	08:00	2019/8/1	12:00	4
2019/8/2	08:00	2019/8/2	12:00	4
2019/8/16	08:00	2019/8/16	12:00	4
2019/8/23	08:00	2019/8/23	12:00	4
2019/8/27	08:00	2019/8/27	12:00	4
2019/8/30	08:00	2019/8/30	12:00	4
2019/9/2	08:00	2019/9/2	12:00	4
2019/9/6	08:00	2019/9/6	12:00	4
2019/9/9	08:00	2019/9/9	12:00	4
2019/9/20	08:00	2019/9/20	12:00	4
2019/9/27	08:00	2019/9/27	12:00	4
2019/10/4	08:00	2019/10/4	12:00	4
2019/10/18	08:00	2019/10/18	12:00	4
2019/10/25	08:00	2019/10/25	12:00	4
2019/10/28	08:00	2019/10/28	12:00	4
2019/11/8	08:00	2019/11/8	12:00	4
2019/11/15	08:00	2019/11/15	12:00	4
2019/11/22	08:00	2019/11/22	12:00	4
2019/11/29	08:00	2019/11/29	12:00	4
2019/12/6	08:00	2019/12/6	12:00	4
2019/12/13	08:00	2019/12/13	12:00	4
2019/12/18	08:00	2019/12/18	12:00	4
2019/12/19	08:00	2019/12/19	12:00	4
2019/12/20	08:00	2019/12/20	12:00	4
2019/12/27	08:00	2019/12/27	12:00	4
2020/2/15	08:00	2020/2/15	12:00	0
2020/7/16	09:00	2020/7/16	11:00	2
2020/7/29	09:00	2020/7/29	10:00	1
2020/8/11	09:00	2020/8/11	10:30	1.5
2020/8/14	09:00	2020/8/14	11:00	2
2020/8/19	08:00	2020/8/19	12:00	4
2021/1/7	08:00	2021/1/7	12:00	4
2021/1/8	08:00	2021/1/8	12:00	4
2021/1/28	08:00	2021/1/28	12:00	4
2021/2/8	08:00	2021/2/8	12:00	4
2021/2/9	08:00	2021/2/9	12:00	4
2021/2/19	08:00	2021/2/19	12:00	4
2021/3/11	11:00	2021/3/11	12:00	1
2021/3/11	12:00	2021/3/11	13:00	0
2021/3/22	08:00	2021/3/22	12:00	4
2021/3/23	09:00	2021/3/23	10:00	1
2021/5/11	08:00	2021/5/11	12:00	4
2021/5/12	08:00	2021/5/12	12:00	4
2021/5/13	08:00	2021/5/13	12:00	4
2021/5/14	08:00	2021/5/14	12:00	4
2021/5/19	08:00	2021/5/19	12:00	4
2021/5/20	08:00	2021/5/20	12:00	4
2021/5/21	08:00	2021/5/21	12:00	4
2021/5/24	08:00	2021/5/24	12:00	4
2021/5/25	08:00	2021/5/25	12:00	4
2021/5/26	08:00	2021/5/26	12:00	4
2021/5/27	08:00	2021/5/27	12:00	4
2021/5/28	08:00	2021/5/28	12:00	4
2021/6/1	08:00	2021/6/1	12:00	4
2021/6/2	08:00	2021/6/2	12:00	4
2021/6/3	08:00	2021/6/3	12:00	4
2021/6/4	08:00	2021/6/4	12:00	4
2021/6/7	08:00	2021/6/7	12:00	4
2021/6/8	08:00	2021/6/8	12:00	4
2021/6/9	08:00	2021/6/9	12:00	4
2021/6/10	08:00	2021/6/10	12:00	4
2021/6/11	08:00	2021/6/11	12:00	4
2021/6/15	08:00	2021/6/15	12:00	4
2021/6/16	08:00	2021/6/16	12:00	4
2021/6/17	08:00	2021/6/17	12:00	4
2021/6/18	08:00	2021/6/18	12:00	4
2021/6/21	08:00	2021/6/21	12:00	4
2021/6/22	08:00	2021/6/22	12:00	4
2021/6/23	08:00	2021/6/23	12:00	4
2021/6/24	08:00	2021/6/24	12:00	4
2021/6/25	08:00	2021/6/25	12:00	4
2021/6/28	08:00	2021/6/28	12:00	4
2021/6/29	08:00	2021/6/29	12:00	4
2024/2/15	08:30	2024/2/15	16:00	6.5
2024/2/16	08:30	2024/2/16	16:00	6.5
2024/2/23	08:30	2024/2/23	16:00	6.5
2024/3/19	08:30	2024/3/19	16:00	6.5
2024/3/20	08:30	2024/3/20	16:00	6.5
2024/3/26	08:30	2024/3/26	16:00	6.5
2024/4/1	08:30	2024/4/1	09:30	1
2024/4/2	15:30	2024/4/2	16:00	0.5
2024/9/5	08:30	2024/9/5	16:00	6.5
2024/9/16	08:30	2024/9/16	16:00	6.5
2024/9/27	08:30	2024/9/27	16:00	6.5
2024/11/1	08:30	2024/11/1	09:00	0.5
2024/11/4	08:30	2024/11/4	09:00	0.5
2024/11/7	08:30	2024/11/7	16:00	6.5
2024/11/8	08:30	2024/11/8	16:00	6.5
2024/11/13	08:30	2024/11/13	09:00	0.5
2024/11/19	08:30	2024/11/19	09:00	0.5
2024/11/19	14:30	2024/11/19	16:00	1.5
2024/11/22	08:30	2024/11/22	09:00	0.5
2024/12/2	08:30	2024/12/2	16:00	6.5
2024/12/13	08:30	2024/12/13	16:00	6.5
2024/12/24	08:30	2024/12/24	16:00	6.5
2024/12/26	08:30	2024/12/26	16:00	6.5
2025/1/2	08:30	2025/1/2	16:00	6.5
2025/1/3	08:30	2025/1/3	16:00	6.5
2025/1/10	08:30	2025/1/10	16:00	6.5
2025/1/22	08:30	2025/1/22	16:00	6.5
2025/3/4	08:30	2025/3/4	16:00	6.5
2025/3/24	08:30	2025/3/24	10:00	1.5
2025/3/24	13:00	2025/3/24	16:00	3
2025/3/26	13:00	2025/3/26	16:00	3
2025/12/2	08:30	2025/12/2	16:00	6.5
2025/12/5	08:30	2025/12/5	16:00	6.5
2025/12/19	08:30	2025/12/19	16:00	6.5
2025/12/29	08:30	2025/12/29	16:00	6.5
2026/1/6	08:30	2026/1/6	16:00	6.5
